Trainning ...
Done traning
error = 7.979028622983067E-5
error = 7.943554906700891E-5
error = 7.908387465695125E-5
error = 7.873522370006055E-5
error = 7.83895575651698E-5
error = 7.804683827543286E-5
error = 7.7707028494545E-5
error = 7.737009151331037E-5
error = 7.703599123656333E-5
error = 7.6704692170374E-5
error = 7.637615940963538E-5
error = 7.60503586258822E-5
error = 7.572725605547403E-5
error = 7.540681848803123E-5
error = 7.508901325516561E-5
error = 7.477380821947019E-5
error = 7.446117176381443E-5
error = 7.415107278082908E-5
error = 7.384348066273083E-5
error = 7.353836529131537E-5
error = 7.323569702821813E-5
error = 7.293544670542981E-5
error = 7.263758561597789E-5
error = 7.234208550489791E-5
error = 7.204891856035042E-5
error = 7.1758057404996E-5
error = 7.146947508754449E-5
error = 7.118314507450648E-5
error = 7.089904124213858E-5
error = 7.061713786857005E-5
error = 7.033740962610674E-5
error = 7.005983157372207E-5
error = 6.978437914970952E-5
error = 6.951102816451081E-5
error = 6.9239754793689E-5
error = 6.897053557107619E-5
error = 6.870334738207307E-5
error = 6.843816745708478E-5
error = 6.817497336512662E-5
error = 6.791374300754862E-5
error = 6.765445461190103E-5
error = 6.73970867259612E-5
error = 6.714161821185356E-5
error = 6.688802824032737E-5
error = 6.663629628514581E-5
error = 6.638640211759329E-5
error = 6.613832580112087E-5
error = 6.589204768607861E-5
error = 6.56475484045918E-5
error = 6.540480886551821E-5
error = 6.51638102495312E-5
error = 6.492453400431108E-5
error = 6.468696183980725E-5
error = 6.445107572365029E-5
error = 6.421685787661192E-5
error = 6.398429076818606E-5
error = 6.37533571122645E-5
error = 6.352403986288082E-5
error = 6.329632221008084E-5
error = 6.307018757582175E-5
error = 6.284561961001557E-5
error = 6.262260218661796E-5
error = 6.240111939980168E-5
error = 6.218115556021382E-5
error = 6.196269519131445E-5
error = 6.17457230257713E-5
error = 6.153022400195021E-5
error = 6.131618326045228E-5
error = 6.11035861407411E-5
error = 6.089241817783173E-5
error = 6.0682665099029575E-5
error = 6.047431282076065E-5
error = 6.026734744543919E-5
error = 6.006175525842135E-5
error = 5.9857522724996575E-5
error = 5.9654636487457725E-5
error = 5.9453083362198575E-5
error = 5.925285033691984E-5
error = 5.905392456782014E-5
error = 5.885629337691596E-5
error = 5.865994424934343E-5
error = 5.846486483075873E-5
error = 5.82710429247818E-5
error = 5.807846649046468E-5
error = 5.78871236398358E-5
error = 5.7697002635476025E-5
error = 5.7508091888141334E-5
error = 5.732037995443429E-5
error = 5.7133855534527625E-5
error = 5.6948507469902496E-5
error = 5.67643247411597E-5
error = 5.6581296465864484E-5
error = 5.639941189641225E-5
error = 5.621866041795E-5
error = 5.6039031546349954E-5
error = 5.5860514926180156E-5
error = 5.568310032876059E-5
error = 5.550677765021033E-5
error = 5.533153690956565E-5
error = 5.515736824691024E-5
error = 5.498426192154723E-5
error = 5.481220831020023E-5
error = 5.464119790526602E-5
error = 5.447122131305884E-5
error = 5.430226925212936E-5
error = 5.4134332551584584E-5
error = 5.39674021494473E-5
error = 5.3801469091054997E-5
error = 5.3636524527461083E-5
error = 5.347255971389264E-5
error = 5.330956600821972E-5
error = 5.314753486944945E-5
error = 5.298645785625537E-5
error = 5.2826326625532914E-5
error = 5.266713293096896E-5
error = 5.250886862164278E-5
error = 5.2351525640657676E-5
error = 5.2195096023786196E-5
error = 5.203957189813992E-5
error = 5.1884945480867806E-5
error = 5.173120907787302E-5
error = 5.157835508255093E-5
error = 5.142637597455034E-5
error = 5.127526431855536E-5
error = 5.1125012763085676E-5
error = 5.097561403932478E-5
error = 5.082706095994953E-5
error = 5.067934641800773E-5
error = 5.053246338578586E-5
error = 5.0386404913716375E-5
error = 5.02411641292895E-5
error = 5.0096734235993846E-5
error = 4.99531085122628E-5
error = 4.981028031045549E-5
error = 4.966824305582898E-5
error = 4.9526990245558315E-5
error = 4.938651544774451E-5
error = 4.924681230045843E-5
error = 4.910787451078646E-5
error = 4.8969695853897925E-5
error = 4.883227017213591E-5
error = 4.869559137410448E-5
error = 4.855965343378529E-5
error = 4.8424450389661685E-5
error = 4.828997634385834E-5
error = 4.815622546129622E-5
error = 4.802319196885834E-5
error = 4.78908701545718E-5
error = 4.7759254366796237E-5
error = 4.7628339013439465E-5
error = 4.7498118561161165E-5
error = 4.7368587534619566E-5
error = 4.7239740515702394E-5
error = 4.711157214278905E-5
error = 4.6984077110010024E-5
error = 4.6857250166531915E-5
error = 4.673108611583953E-5
error = 4.660557981503991E-5
error = 4.648072617417242E-5
error = 4.635652015552852E-5
error = 4.623295677298647E-5
error = 4.611003109134761E-5
error = 4.598773822569374E-5
error = 4.5866073340744635E-5
error = 4.5745031650237894E-5
error = 4.5624608416296906E-5
error = 4.550479894883025E-5
error = 4.5385598604931736E-5
error = 4.526700278828753E-5
error = 4.5149006948584954E-5
error = 4.5031606580956216E-5
error = 4.4914797225393594E-5
error = 4.479857446621216E-5
error = 4.468293393148506E-5
error = 4.456787129251159E-5
error = 4.445338226327972E-5
error = 4.433946259994983E-5
error = 4.422610810032801E-5
error = 4.4113314603360415E-5
error = 4.400107798863719E-5
error = 4.388939417588818E-5
error = 4.377825912450366E-5
error = 4.3667668833048414E-5
error = 4.3557619338790326E-5
error = 4.344810671723903E-5
error = 4.3339127081675274E-5
